time,OBS1,OBS2
5000.000000000,0.1556634379E-06,0.1164217917E-01
5010.000000000,0.1500261382E-06,0.1197109401E-01
5020.000000000,0.1446303559E-06,0.1230412620E-01
5030.000000000,0.1394657412E-06,0.1264113217E-01
5040.000000000,0.1345223882E-06,0.1298196120E-01
5050.000000000,0.1297908152E-06,0.1332645544E-01
5060.000000000,0.1252619473E-06,0.1367445009E-01
5070.000000000,0.1209270982E-06,0.1402577345E-01
5080.000000000,0.1167779540E-06,0.1438024708E-01
5090.000000000,0.1128065572E-06,0.1473768592E-01
5100.000000000,0.1090052912E-06,0.1509789845E-01
5110.000000000,0.1053668661E-06,0.1546068686E-01
5120.000000000,0.1018843040E-06,0.1582584722E-01
5130.000000000,0.9855092654E-07,0.1619316967E-01
5140.000000000,0.9536034115E-07,0.1656243863E-01
5150.000000000,0.9230642946E-07,0.1693343303E-01
5160.000000000,0.8938333524E-07,0.1730592650E-01
5170.000000000,0.8658545322E-07,0.1767968765E-01
5180.000000000,0.8390741836E-07,0.1805448032E-01
5190.000000000,0.8134409553E-07,0.1843006379E-01
5200.000000000,0.7889056966E-07,0.1880619313E-01
5210.000000000,0.7654213631E-07,0.1918261943E-01
5220.000000000,0.7429429264E-07,0.1955909011E-01
5230.000000000,0.7214272875E-07,0.1993534922E-01
5240.000000000,0.7008331947E-07,0.2031113776E-01
5250.000000000,0.6811211636E-07,0.2068619398E-01
5260.000000000,0.6622534020E-07,0.2106025371E-01
5270.000000000,0.6441937371E-07,0.2143305072E-01
5280.000000000,0.6269075461E-07,0.2180431703E-01
5290.000000000,0.6103616900E-07,0.2217378326E-01
5300.000000000,0.5945244494E-07,0.2254117898E-01
